fact,explanation,gen_time
"[2, 0, 23, 1, 30, 9, 4, 0, 13, 7, 30, 6, 0, 0, 6, 0, 30, 3, 10, 0, 13, 6, 30, 11, 2, 0, 13, 0, 30, 4, 2, 0, 6, 1, -15, 3, 1, 719]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0.07289361953735352
"[2, 2, 31, 1, 30, 1, 3, 0, 4, 1, 30, 4, 0, 0, 4, 0, 30, 1, 3, 0, 4, 7, 30, 4, 0, 0, 4, 0, 30, 0, 3, 0, 3, 1, -15, 3, 1, 939]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0.0020313262939453125
"[2, 4, 8, 0, 30, 7, 0, 0, 7, 6, 30, 2, 0, 0, 2, 0, 30, 1, 6, 0, 7, 10, 30, 7, 0, 0, 7, 4, 30, 3, 0, 0, 3, 0, -27, 3, 0, 259]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0019943714141845703
"[2, 3, 9, 0, 30, 3, 1, 0, 4, 0, 30, 2, 0, 0, 2, 0, 30, 0, 4, 0, 4, 2, 30, 4, 0, 0, 4, 0, 30, 1, 0, 0, 1, 0, -27, 3, 0, 279]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0.0009975433349609375
"[2, 0, 27, 2, 30, 14, 1, 0, 15, 4, 30, 1, 1, 0, 2, 0, 30, 1, 14, 0, 15, 0, 30, 9, 6, 0, 15, 0, 30, 1, 5, 0, 6, 1, -15, 3, 1, 839]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0.0010318756103515625
"[2, 2, 40, 0, 30, 4, 5, 0, 9, 1, 30, 2, 0, 0, 2, 0, 30, 1, 8, 0, 9, 0, 30, 3, 6, 0, 9, 14, 30, 3, 0, 0, 3, 1, -15, 3, 1, 1219]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0.0019960403442382812
"[2, 1, 39, 0, 30, 2, 9, 0, 11, 2, 30, 5, 1, 0, 6, 0, 30, 4, 7, 0, 11, 0, 30, 4, 7, 0, 11, 12, 30, 5, 0, 0, 5, 1, -15, 3, 1, 1199]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0.0009970664978027344
"[2, 0, 20, 0, 30, 5, 3, 0, 8, 2, 30, 5, 3, 0, 8, 0, 30, 1, 7, 0, 8, 0, 30, 6, 2, 0, 8, 1, 30, 1, 4, 0, 5, 1, -15, 3, 1, 619]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0.001995563507080078
"[2, 2, 37, 2, 30, 6, 5, 0, 11, 0, 30, 8, 0, 0, 8, 0, 30, 1, 10, 0, 11, 0, 30, 7, 4, 0, 11, 13, 30, 6, 0, 0, 6, 1, -15, 3, 1, 1139]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0.001031637191772461
"[2, 4, 25, 5, 30, 14, 0, 0, 14, 0, 30, 5, 1, 0, 6, 0, 30, 3, 11, 0, 14, 4, 30, 14, 0, 0, 14, 0, 30, 3, 3, 0, 6, 1, -15, 3, 1, 779]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0.0019960403442382812
