fact,explanation,reachability,fidelity,uncertainty,gen_time
"[2, 3, 35, 0, 30, 6, 7, 0, 13, 6, 30, 2, 0, 0, 2, 1, 30, 2, 11, 0, 13, 2, 30, 3, 10, 0, 13, 7, 30, 8, 0, 0, 8, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 7, 13, 0, 20, 0, 30, 4, 0, 0, 4, 1, 30, 3, 17, 0, 20, 7, 30, 6, 14, 0, 20, 1, 30, 12, 0, 0, 12, 1, -15, 3, 1]",1.0,0.9163056920032923,1.0,117.46749997138977
"[2, 1, 25, 1, 30, 8, 6, 0, 14, 3, 30, 6, 0, 0, 6, 0, 30, 8, 6, 0, 14, 1, 30, 5, 9, 0, 14, 4, 30, 6, 0, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 10, 11, 0, 21, 1, 30, 8, 0, 0, 8, 4, 30, 10, 11, 0, 21, 0, 30, 7, 14, 0, 21, 0, 30, 10, 0, 0, 10, 1, -15, 3, 1]",1.0,0.8066730495238846,1.0,111.28128147125244
"[2, 2, 25, 1, 30, 8, 6, 0, 14, 5, 30, 6, 0, 0, 6, 0, 30, 5, 9, 0, 14, 1, 30, 5, 9, 0, 14, 3, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 10, 11, 0, 21, 2, 30, 8, 0, 0, 8, 2, 30, 8, 13, 0, 21, 0, 30, 7, 14, 0, 21, 0, 30, 9, 1, 0, 10, 1, -15, 3, 1]",1.0,0.6945517312956397,1.0,112.1420385837555
"[2, 1, 25, 1, 30, 6, 8, 0, 14, 2, 30, 6, 0, 0, 6, 0, 30, 8, 6, 0, 14, 1, 30, 5, 9, 0, 14, 5, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 8, 13, 0, 21, 1, 30, 8, 0, 0, 8, 3, 30, 10, 11, 0, 21, 0, 30, 7, 14, 0, 21, 1, 30, 9, 1, 0, 10, 1, -15, 3, 1]",1.0,0.8104453644526185,1.0,114.18995022773743
"[2, 3, 10, 0, 30, 2, 7, 0, 9, 3, 30, 3, 1, 0, 4, 0, 30, 8, 1, 0, 9, 0, 30, 0, 9, 0, 9, 2, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 3, 13, 0, 16, 0, 30, 5, 1, 0, 6, 1, 30, 9, 7, 0, 16, 0, 30, 1, 15, 0, 16, 0, 30, 8, 1, 0, 9, 1, -15, 3, 1]",1.0,0.7449272689641999,1.0,118.1258807182312
"[2, 1, 5, 2, 30, 6, 6, 0, 12, 2, 30, 6, 4, 0, 10, 0, 30, 7, 5, 0, 12, 0, 30, 7, 5, 0, 12, 2, 30, 3, 3, 0, 6, 0, -27, 3, 0]","[2, 2, 1, 0, 30, 9, 10, 0, 19, 1, 30, 8, 4, 0, 12, 1, 30, 7, 12, 0, 19, 0, 30, 8, 11, 0, 19, 0, 30, 6, 4, 0, 10, 0, -27, 3, 0]",1.0,0.8634201425667191,1.0,124.22617793083191
"[2, 2, 40, 0, 30, 2, 7, 0, 9, 5, 30, 2, 0, 0, 2, 0, 30, 1, 8, 0, 9, 0, 30, 5, 4, 0, 9, 3, 30, 3, 0, 0, 3, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 3, 13, 0, 16, 2, 30, 4, 0, 0, 4, 5, 30, 3, 13, 0, 16, 1, 30, 6, 10, 0, 16, 0, 30, 7, 0, 0, 7, 1, -15, 3, 1]",1.0,0.8262787320749759,1.0,126.66593098640442
"[2, 0, 27, 1, 30, 4, 11, 0, 15, 3, 30, 1, 1, 0, 2, 0, 30, 6, 9, 0, 15, 2, 30, 4, 11, 0, 15, 4, 30, 6, 0, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 2, 10, 0, 12, 0, 30, 2, 0, 0, 2, 1, 30, 5, 7, 0, 12, 3, 30, 4, 8, 0, 12, 0, 30, 6, 2, 0, 8, 1, -15, 3, 1]",1.0,0.8551869534183545,1.0,119.39244437217712
"[2, 2, 26, 0, 30, 7, 2, 0, 9, 4, 30, 4, 0, 0, 4, 6, 30, 0, 9, 0, 9, 0, 30, 2, 7, 0, 9, 6, 30, 3, 0, 0, 3, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 8, 8, 0, 16, 1, 30, 6, 0, 0, 6, 1, 30, 6, 10, 0, 16, 1, 30, 4, 12, 0, 16, 2, 30, 7, 0, 0, 7, 1, -15, 3, 1]",1.0,0.8698422328035671,1.0,124.37223029136658
"[2, 3, 43, 0, 30, 4, 10, 0, 14, 8, 30, 6, 0, 0, 6, 0, 30, 4, 10, 0, 14, 1, 30, 1, 13, 0, 14, 9, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 5, 16, 0, 21, 1, 30, 8, 0, 0, 8, 1, 30, 8, 13, 0, 21, 7, 30, 4, 17, 0, 21, 1, 30, 9, 0, 0, 9, 1, -15, 3, 1]",1.0,0.8701353958620437,1.0,124.06719422340393
"[2, 1, 18, 0, 30, 4, 4, 0, 8, 2, 30, 4, 0, 0, 4, 0, 30, 0, 8, 0, 8, 0, 30, 7, 1, 0, 8, 3, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 5, 10, 0, 15, 2, 30, 6, 0, 0, 6, 1, 30, 0, 15, 0, 15, 0, 30, 8, 7, 0, 15, 0, 30, 9, 0, 0, 9, 1, -15, 3, 1]",1.0,0.8267039073572824,1.0,115.29828572273254
"[2, 2, 14, 1, 30, 5, 4, 0, 9, 2, 30, 6, 0, 0, 6, 0, 30, 2, 7, 0, 9, 3, 30, 9, 0, 0, 9, 5, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 7, 9, 0, 16, 3, 30, 8, 0, 0, 8, 1, 30, 2, 14, 0, 16, 0, 30, 13, 3, 0, 16, 2, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.8817935052140708,1.0,119.20352983474731
"[2, 0, 27, 1, 30, 5, 10, 0, 15, 5, 30, 2, 0, 0, 2, 0, 30, 5, 10, 0, 15, 0, 30, 4, 11, 0, 15, 2, 30, 6, 0, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 2, 10, 0, 12, 0, 30, 2, 0, 0, 2, 1, 30, 4, 8, 0, 12, 3, 30, 4, 8, 0, 12, 0, 30, 5, 3, 0, 8, 1, -15, 3, 1]",1.0,0.8856356887043881,1.0,122.08824372291565
"[2, 0, 37, 1, 30, 7, 4, 0, 11, 6, 30, 8, 0, 0, 8, 0, 30, 4, 7, 0, 11, 6, 30, 3, 8, 0, 11, 9, 30, 6, 0, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 4, 7, 0, 11, 2, 30, 2, 0, 0, 2, 1, 30, 3, 8, 0, 11, 4, 30, 2, 9, 0, 11, 3, 30, 5, 0, 0, 5, 1, -15, 3, 1]",1.0,0.6231768469582228,1.0,125.59219479560852
"[2, 1, 20, 0, 30, 1, 7, 0, 8, 0, 30, 8, 0, 0, 8, 3, 30, 8, 0, 0, 8, 0, 30, 1, 7, 0, 8, 1, 30, 3, 2, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 2, 13, 0, 15, 0, 30, 10, 0, 0, 10, 1, 30, 11, 4, 0, 15, 0, 30, 2, 13, 0, 15, 0, 30, 6, 3, 0, 9, 1, -15, 3, 1]",1.0,0.7698412230844507,1.0,121.56278991699219
"[2, 2, 39, 0, 30, 1, 10, 0, 11, 5, 30, 6, 0, 0, 6, 0, 30, 4, 7, 0, 11, 0, 30, 2, 9, 0, 11, 6, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 3, 1, 0, 30, 2, 16, 0, 18, 7, 30, 8, 0, 0, 8, 1, 30, 5, 13, 0, 18, 0, 30, 3, 15, 0, 18, 3, 30, 9, 0, 0, 9, 1, -15, 3, 1]",1.0,0.8569062926331705,1.0,121.94369411468506
"[2, 4, 15, 0, 30, 5, 8, 0, 13, 2, 30, 5, 1, 0, 6, 0, 30, 3, 10, 0, 13, 1, 30, 4, 9, 0, 13, 4, 30, 9, 0, 0, 9, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 6, 14, 0, 20, 0, 30, 7, 1, 0, 8, 1, 30, 4, 16, 0, 20, 0, 30, 8, 12, 0, 20, 0, 30, 13, 0, 0, 13, 1, -15, 3, 1]",1.0,0.8941976096190656,1.0,123.08378648757935
"[2, 2, 40, 0, 30, 3, 6, 0, 9, 4, 30, 2, 0, 0, 2, 1, 30, 2, 7, 0, 9, 0, 30, 6, 3, 0, 9, 3, 30, 3, 0, 0, 3, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 4, 12, 0, 16, 2, 30, 4, 0, 0, 4, 1, 30, 7, 9, 0, 16, 1, 30, 7, 9, 0, 16, 2, 30, 7, 0, 0, 7, 1, -15, 3, 1]",1.0,0.7645032499091786,1.0,121.27547860145569
"[2, 1, 14, 0, 30, 8, 1, 0, 9, 1, 30, 6, 0, 0, 6, 0, 30, 2, 7, 0, 9, 0, 30, 8, 1, 0, 9, 4, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 9, 7, 0, 16, 1, 30, 8, 0, 0, 8, 1, 30, 2, 14, 0, 16, 0, 30, 9, 7, 0, 16, 1, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.882988863899719,1.0,119.5897274017334
"[2, 3, 25, 2, 30, 6, 8, 0, 14, 1, 30, 6, 0, 0, 6, 0, 30, 9, 5, 0, 14, 1, 30, 5, 9, 0, 14, 3, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 9, 12, 0, 21, 1, 30, 8, 0, 0, 8, 2, 30, 10, 11, 0, 21, 0, 30, 7, 14, 0, 21, 0, 30, 9, 1, 0, 10, 1, -15, 3, 1]",1.0,0.7046184371952979,1.0,119.71264839172363
"[2, 4, 11, 1, 30, 3, 9, 0, 12, 0, 30, 4, 0, 0, 4, 0, 30, 9, 3, 0, 12, 7, 30, 5, 7, 0, 12, 6, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 5, 14, 0, 19, 0, 30, 6, 0, 0, 6, 1, 30, 9, 10, 0, 19, 1, 30, 12, 7, 0, 19, 3, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.863789257949487,1.0,120.06055521965027
"[2, 2, 16, 0, 30, 5, 4, 0, 9, 4, 30, 8, 0, 0, 8, 0, 30, 2, 7, 0, 9, 0, 30, 1, 8, 0, 9, 0, 30, 3, 1, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 6, 10, 0, 16, 1, 30, 10, 0, 0, 10, 1, 30, 3, 13, 0, 16, 1, 30, 3, 13, 0, 16, 0, 30, 4, 4, 0, 8, 1, -15, 3, 1]",1.0,0.7066295411843649,1.0,118.87557530403137
"[2, 2, 25, 2, 30, 6, 8, 0, 14, 4, 30, 6, 0, 0, 6, 0, 30, 5, 9, 0, 14, 1, 30, 6, 8, 0, 14, 4, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 9, 12, 0, 21, 2, 30, 8, 0, 0, 8, 1, 30, 9, 12, 0, 21, 0, 30, 8, 13, 0, 21, 1, 30, 9, 1, 0, 10, 1, -15, 3, 1]",1.0,0.7433820004556113,1.0,118.82025337219238
"[2, 1, 5, 1, 30, 5, 7, 0, 12, 2, 30, 7, 3, 0, 10, 0, 30, 4, 8, 0, 12, 0, 30, 7, 5, 0, 12, 1, 30, 3, 3, 0, 6, 0, -27, 3, 0]","[2, 2, 1, 0, 30, 8, 11, 0, 19, 1, 30, 9, 3, 0, 12, 1, 30, 4, 15, 0, 19, 0, 30, 8, 11, 0, 19, 0, 30, 5, 5, 0, 10, 0, -27, 3, 0]",1.0,0.865132229028857,1.0,117.12195587158203
"[2, 0, 16, 0, 30, 6, 3, 0, 9, 4, 30, 8, 0, 0, 8, 3, 30, 2, 7, 0, 9, 0, 30, 1, 8, 0, 9, 1, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 6, 14, 0, 20, 0, 30, 8, 0, 0, 8, 1, 30, 3, 17, 0, 20, 0, 30, 8, 12, 0, 20, 0, 30, 9, 4, 0, 13, 1, -15, 3, 1]",1.0,0.8702057343799046,1.0,116.88187837600708
"[2, 2, 25, 0, 30, 6, 8, 0, 14, 4, 30, 6, 0, 0, 6, 0, 30, 10, 4, 0, 14, 1, 30, 5, 9, 0, 14, 3, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 7, 14, 0, 21, 1, 30, 8, 0, 0, 8, 2, 30, 14, 7, 0, 21, 0, 30, 7, 14, 0, 21, 0, 30, 9, 1, 0, 10, 1, -15, 3, 1]",1.0,0.6625033835395426,1.0,117.68549394607544
"[2, 3, 24, 0, 30, 4, 2, 0, 6, 3, 30, 4, 0, 0, 4, 8, 30, 6, 0, 0, 6, 0, 30, 1, 5, 0, 6, 2, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 5, 8, 0, 13, 0, 30, 6, 0, 0, 6, 2, 30, 13, 0, 0, 13, 0, 30, 2, 11, 0, 13, 0, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.7498423839058075,1.0,121.30660486221313
"[2, 3, 18, 1, 30, 8, 0, 0, 8, 2, 30, 4, 0, 0, 4, 0, 30, 0, 8, 0, 8, 0, 30, 5, 3, 0, 8, 2, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 10, 5, 0, 15, 1, 30, 6, 0, 0, 6, 1, 30, 0, 15, 0, 15, 0, 30, 6, 9, 0, 15, 0, 30, 8, 1, 0, 9, 1, -15, 3, 1]",1.0,0.8417777668797539,1.0,121.61083054542542
