fact,explanation,gen_time
"[2, 0, 4, 2, 30, 7, 1, 0, 8, 3, 30, 2, 2, 0, 4, 0, 30, 6, 2, 0, 8, 0, 30, 2, 6, 0, 8, 2, 30, 4, 0, 0, 4, 0, -27, 3, 0, 139]","[2, 2, 1, 2, 30, 5, 6, 0, 11, 0, 30, 8, 0, 0, 8, 1, 30, 10, 1, 0, 11, 0, 30, 0, 11, 0, 11, 1, 30, 2, 5, 0, 7, -27, 3, 0, 119, 39]",613.3322582244873
"[2, 2, 34, 1, 30, 9, 0, 0, 9, 0, 30, 5, 3, 0, 8, 0, 30, 0, 9, 0, 9, 3, 30, 7, 2, 0, 9, 0, 30, 2, 4, 0, 6, 1, -15, 3, 1, 1039]","[2, 2, 1, 1, 30, 9, 0, 0, 9, 0, 30, 5, 3, 0, 8, 0, 30, 0, 9, 0, 9, 1, 30, 7, 2, 0, 9, 0, 30, 2, 4, 0, 6, -15, 3, 1, 1039, 39]",577.3416662216187
"[2, 0, 32, 0, 30, 8, 1, 0, 9, 10, 30, 2, 0, 0, 2, 0, 30, 6, 3, 0, 9, 3, 30, 9, 0, 0, 9, 0, 30, 2, 0, 0, 2, 1, -15, 3, 1, 979]","[2, 2, 1, 1, 30, 5, 7, 0, 12, 0, 30, 5, 3, 0, 8, 3, 30, 4, 8, 0, 12, 1, 30, 12, 0, 0, 12, 0, 30, 1, 5, 0, 6, -15, 3, 1, 959, 39]",481.63422107696533
"[2, 2, 31, 0, 30, 0, 4, 0, 4, 1, 30, 4, 0, 0, 4, 0, 30, 1, 3, 0, 4, 4, 30, 4, 0, 0, 4, 0, 30, 0, 3, 0, 3, 1, -15, 3, 1, 939]","[2, 2, 1, 0, 30, 0, 4, 0, 4, 1, 30, 4, 0, 0, 4, 0, 30, 1, 3, 0, 4, 4, 30, 4, 0, 0, 4, 0, 30, 0, 3, 0, 3, -15, 3, 1, 939, 39]",583.9415769577026
"[2, 1, 17, 1, 30, 2, 2, 0, 4, 0, 30, 2, 0, 0, 2, 1, 30, 0, 4, 0, 4, 3, 30, 3, 1, 0, 4, 1, 30, 1, 0, 0, 1, 1, -15, 3, 1, 519]","[2, 2, 1, 1, 30, 2, 2, 0, 4, 0, 30, 2, 0, 0, 2, 1, 30, 0, 4, 0, 4, 3, 30, 3, 1, 0, 4, 1, 30, 1, 0, 0, 1, -15, 3, 1, 519, 39]",600.6093487739563
"[2, 4, 35, 2, 30, 13, 0, 0, 13, 6, 30, 2, 0, 0, 2, 1, 30, 2, 11, 0, 13, 0, 30, 7, 6, 0, 13, 5, 30, 5, 3, 0, 8, 1, -15, 3, 1, 1079]","[2, 2, 1, 2, 30, 13, 0, 0, 13, 6, 30, 2, 0, 0, 2, 1, 30, 2, 11, 0, 13, 0, 30, 7, 6, 0, 13, 5, 30, 5, 3, 0, 8, -15, 3, 1, 1079, 39]",527.153892993927
"[2, 2, 4, 2, 30, 7, 1, 0, 8, 0, 30, 2, 2, 0, 4, 3, 30, 8, 0, 0, 8, 1, 30, 1, 7, 0, 8, 3, 30, 3, 1, 0, 4, 0, -27, 3, 0, 139]","[2, 2, 1, 2, 30, 7, 1, 0, 8, 0, 30, 2, 2, 0, 4, 3, 30, 8, 0, 0, 8, 1, 30, 1, 7, 0, 8, 3, 30, 3, 1, 0, 4, -27, 3, 0, 139, 39]",480.2414753437042
"[2, 3, 20, 0, 30, 3, 5, 0, 8, 0, 30, 5, 3, 0, 8, 0, 30, 1, 7, 0, 8, 2, 30, 8, 0, 0, 8, 1, 30, 1, 4, 0, 5, 1, -15, 3, 1, 619]","[2, 2, 1, 0, 30, 3, 5, 0, 8, 0, 30, 5, 3, 0, 8, 0, 30, 1, 7, 0, 8, 0, 30, 8, 0, 0, 8, 1, 30, 1, 4, 0, 5, -15, 3, 1, 619, 39]",477.63710856437683
"[2, 4, 33, 2, 30, 3, 0, 0, 3, 1, 30, 2, 0, 0, 2, 0, 30, 0, 3, 0, 3, 2, 30, 1, 2, 0, 3, 0, 30, 1, 1, 0, 2, 1, -15, 3, 1, 999]","[2, 2, 1, 2, 30, 3, 0, 0, 3, 1, 30, 2, 0, 0, 2, 0, 30, 0, 3, 0, 3, 2, 30, 1, 2, 0, 3, 0, 30, 1, 1, 0, 2, -15, 3, 1, 999, 39]",478.65844678878784
"[2, 4, 17, 3, 30, 12, 2, 0, 14, 0, 30, 6, 0, 0, 6, 0, 30, 3, 11, 0, 14, 1, 30, 11, 3, 0, 14, 0, 30, 3, 1, 0, 4, 1, -15, 3, 1, 539]","[2, 2, 1, 1, 30, 12, 2, 0, 14, 0, 30, 6, 0, 0, 6, 0, 30, 3, 11, 0, 14, 1, 30, 11, 3, 0, 14, 0, 30, 3, 1, 0, 4, -15, 3, 1, 539, 39]",475.12614274024963
