fact id,fact,explanation,recourse,uncertainty,fidelity,sparsity,exceptionality,validity,gen time,found
0,"[2, 1, 25, 2, 30, 6, 8, 0, 14, 2, 30, 6, 0, 0, 6, 0, 30, 9, 5, 0, 14, 1, 30, 4, 10, 0, 14, 5, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 3, 20, 6, 30, 5, 7, 0, 7, 18, 30, 10, 0, 0, 6, 0, 30, 13, 6, 0, 7, 1, 30, 12, 11, 0, 9, 2, 30, 7, 3, 0, 5, 1, -15, 3, 1]",,1,1,1,1,1,230.2891993522644,0
1,"[2, 1, 25, 1, 30, 6, 8, 0, 14, 3, 30, 6, 0, 0, 6, 0, 30, 7, 7, 0, 14, 1, 30, 5, 9, 0, 14, 3, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 0, 26, 6, 30, 7, 4, 0, 4, 20, 30, 8, 1, 0, 8, 10, 30, 2, 5, 0, 14, 6, 30, 8, 4, 0, 10, 4, 30, 6, 1, 0, 2, 1, -15, 3, 1]",,1,1,1,1,1,223.1645951271057,0
2,"[2, 1, 13, 1, 30, 7, 0, 0, 7, 0, 30, 4, 0, 0, 4, 2, 30, 5, 2, 0, 7, 7, 30, 7, 0, 0, 7, 3, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 0, 39, 0, 30, 9, 3, 0, 7, 17, 30, 10, 0, 0, 8, 0, 30, 4, 6, 0, 10, 11, 30, 6, 5, 0, 11, 10, 30, 5, 0, 0, 5, 0, -15, 3, 0]",,1,1,1,1,1,198.38397121429443,0
3,"[2, 1, 19, 0, 30, 3, 10, 0, 13, 2, 30, 5, 3, 0, 8, 0, 30, 4, 9, 0, 13, 5, 30, 4, 9, 0, 13, 4, 30, 8, 1, 0, 9, 1, -15, 3, 1]","[0, 2, 11, 2, 30, 6, 10, 0, 11, 20, 30, 8, 3, 0, 0, 6, 30, 11, 0, 0, 11, 1, 30, 8, 4, 0, 15, 4, 30, 0, 2, 0, 1, 0, -27, 3, 1]",,1,1,1,1,1,219.69800901412964,0
4,"[2, 2, 35, 1, 30, 8, 5, 0, 13, 4, 30, 2, 0, 0, 2, 1, 30, 2, 11, 0, 13, 0, 30, 1, 12, 0, 13, 6, 30, 8, 0, 0, 8, 1, -15, 3, 1]","[2, 3, 2, 0, 30, 1, 10, 0, 8, 4, 30, 6, 0, 0, 6, 8, 30, 2, 3, 0, 9, 0, 30, 7, 5, 0, 4, 11, 30, 3, 1, 0, 9, 1, -15, 3, 0]",,1,1,1,1,1,214.4181408882141,0
5,"[2, 2, 18, 1, 30, 8, 0, 0, 8, 2, 30, 4, 0, 0, 4, 0, 30, 2, 6, 0, 8, 0, 30, 7, 1, 0, 8, 1, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 1, 33, 3, 30, 1, 5, 0, 3, 5, 30, 10, 0, 0, 2, 0, 30, 5, 10, 0, 3, 10, 30, 0, 10, 0, 9, 11, 30, 1, 0, 0, 7, 1, -15, 3, 1]",,1,1,1,1,1,209.2829532623291,0
6,"[2, 3, 23, 1, 30, 6, 7, 0, 13, 4, 30, 6, 0, 0, 6, 8, 30, 11, 2, 0, 13, 0, 30, 3, 10, 0, 13, 4, 30, 6, 0, 0, 6, 1, -15, 3, 1]","[2, 2, 9, 1, 30, 0, 3, 0, 3, 12, 30, 2, 0, 0, 2, 2, 30, 10, 7, 0, 3, 11, 30, 5, 9, 0, 9, 7, 30, 6, 3, 0, 2, 1, -15, 3, 1]",,1,1,1,1,1,205.6158266067505,0
7,"[2, 2, 24, 0, 30, 5, 1, 0, 6, 2, 30, 3, 1, 0, 4, 5, 30, 6, 0, 0, 6, 0, 30, 1, 5, 0, 6, 2, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[0, 3, 46, 0, 30, 7, 10, 0, 9, 20, 30, 2, 0, 0, 2, 6, 30, 1, 2, 0, 7, 8, 30, 4, 8, 0, 9, 7, 30, 3, 0, 0, 3, 1, -15, 3, 0]",,1,1,1,1,1,208.90267038345337,0
8,"[2, 2, 35, 0, 30, 7, 6, 0, 13, 4, 30, 2, 0, 0, 2, 1, 30, 2, 11, 0, 13, 3, 30, 2, 11, 0, 13, 9, 30, 8, 0, 0, 8, 1, -15, 3, 1]","[2, 2, 44, 0, 30, 3, 12, 0, 10, 19, 30, 6, 2, 0, 2, 11, 30, 3, 12, 0, 9, 6, 30, 1, 0, 0, 4, 0, 30, 6, 0, 0, 4, 1, -15, 3, 1]",,1,1,1,1,1,210.5552814006805,0
9,"[2, 3, 25, 1, 30, 8, 6, 0, 14, 1, 30, 6, 0, 0, 6, 0, 30, 8, 6, 0, 14, 1, 30, 4, 10, 0, 14, 4, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 3, 17, 2, 30, 0, 3, 0, 11, 10, 30, 6, 0, 0, 6, 1, 30, 3, 10, 0, 3, 2, 30, 6, 4, 0, 12, 0, 30, 4, 0, 0, 0, 1, -15, 3, 1]",,1,1,1,1,1,210.6992390155792,0
10,"[2, 2, 29, 0, 30, 9, 5, 0, 14, 5, 30, 11, 1, 0, 12, 0, 30, 3, 11, 0, 14, 0, 30, 1, 13, 0, 14, 1, 30, 9, 0, 0, 9, 1, -15, 3, 1]","[2, 4, 9, 0, 30, 9, 1, 0, 3, 3, 30, 7, 0, 0, 4, 5, 30, 2, 0, 0, 6, 11, 30, 1, 0, 0, 15, 9, 30, 0, 1, 0, 4, 1, -15, 3, 1]",,1,1,1,1,1,201.5445318222046,0
11,"[2, 1, 5, 1, 30, 9, 3, 0, 12, 2, 30, 10, 0, 0, 10, 0, 30, 3, 9, 0, 12, 0, 30, 8, 4, 0, 12, 1, 30, 1, 5, 0, 6, 0, -27, 3, 0]","[2, 4, 40, 0, 30, 4, 4, 0, 2, 19, 30, 2, 4, 0, 4, 11, 30, 8, 2, 0, 5, 0, 30, 4, 5, 0, 3, 3, 30, 3, 0, 0, 6, 1, -15, 3, 1]",,1,1,1,1,1,207.25106525421145,0
12,"[2, 2, 18, 0, 30, 7, 1, 0, 8, 2, 30, 4, 0, 0, 4, 0, 30, 0, 8, 0, 8, 0, 30, 7, 1, 0, 8, 0, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 3, 25, 0, 30, 2, 4, 0, 12, 12, 30, 8, 2, 0, 2, 2, 30, 2, 0, 0, 11, 0, 30, 8, 0, 0, 6, 4, 30, 6, 3, 0, 6, 1, -15, 3, 1]",,1,1,1,1,1,218.4885516166687,0
13,"[2, 2, 25, 1, 30, 5, 9, 0, 14, 4, 30, 6, 0, 0, 6, 0, 30, 9, 5, 0, 14, 1, 30, 4, 10, 0, 14, 3, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 4, 7, 5, 30, 11, 0, 0, 11, 0, 30, 7, 1, 0, 8, 7, 30, 4, 7, 0, 8, 10, 30, 7, 6, 0, 3, 8, 30, 6, 0, 0, 0, 1, -15, 3, 1]",,1,1,1,1,1,209.6476624011993,0
14,"[2, 4, 10, 0, 30, 2, 7, 0, 9, 2, 30, 4, 0, 0, 4, 1, 30, 7, 2, 0, 9, 0, 30, 1, 8, 0, 9, 2, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 2, 14, 2, 30, 1, 5, 0, 8, 19, 30, 6, 0, 0, 8, 0, 30, 1, 12, 0, 14, 0, 30, 3, 8, 0, 9, 1, 30, 4, 0, 0, 8, 0, -15, 3, 1]",,1,1,1,1,1,202.70710825920105,0
15,"[2, 1, 5, 1, 30, 8, 4, 0, 12, 2, 30, 9, 1, 0, 10, 0, 30, 3, 9, 0, 12, 0, 30, 8, 4, 0, 12, 1, 30, 2, 4, 0, 6, 0, -27, 3, 0]","[2, 3, 11, 0, 30, 4, 9, 0, 9, 6, 30, 2, 0, 0, 10, 5, 30, 7, 2, 0, 13, 5, 30, 3, 6, 0, 8, 1, 30, 3, 0, 0, 9, 1, -27, 3, 1]",,1,1,1,1,1,208.10432648658752,0
16,"[2, 2, 25, 1, 30, 4, 10, 0, 14, 4, 30, 6, 0, 0, 6, 0, 30, 9, 5, 0, 14, 1, 30, 7, 7, 0, 14, 4, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 1, 13, 2, 30, 3, 5, 0, 13, 2, 30, 4, 0, 0, 4, 1, 30, 6, 1, 0, 5, 1, 30, 3, 12, 0, 9, 3, 30, 7, 0, 0, 4, 1, -27, 3, 1]",,1,1,1,1,1,208.6376571655273,0
17,"[2, 3, 24, 0, 30, 4, 2, 0, 6, 2, 30, 4, 0, 0, 4, 2, 30, 6, 0, 0, 6, 0, 30, 1, 5, 0, 6, 2, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 46, 0, 30, 4, 5, 0, 8, 18, 30, 11, 4, 0, 4, 1, 30, 4, 2, 0, 5, 0, 30, 4, 10, 0, 15, 7, 30, 9, 4, 0, 4, 1, -15, 3, 1]",,1,1,1,1,1,208.73307609558103,0
18,"[2, 1, 18, 2, 30, 8, 0, 0, 8, 2, 30, 4, 0, 0, 4, 0, 30, 1, 7, 0, 8, 0, 30, 8, 0, 0, 8, 3, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 2, 7, 5, 30, 5, 14, 0, 12, 19, 30, 7, 4, 0, 4, 4, 30, 3, 7, 0, 11, 0, 30, 6, 6, 0, 12, 8, 30, 0, 0, 0, 7, 1, -15, 3, 1]",,1,1,1,1,1,205.262809753418,0
19,"[2, 3, 25, 2, 30, 5, 9, 0, 14, 5, 30, 6, 0, 0, 6, 0, 30, 7, 7, 0, 14, 1, 30, 5, 9, 0, 14, 5, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[0, 0, 21, 4, 30, 1, 9, 0, 11, 15, 30, 1, 0, 0, 2, 0, 30, 6, 3, 0, 13, 1, 30, 11, 3, 0, 9, 1, 30, 1, 3, 0, 3, 1, -15, 3, 1]",,1,1,1,1,1,207.52570223808289,0
20,"[2, 2, 42, 0, 30, 4, 4, 0, 8, 2, 30, 0, 0, 0, 0, 0, 30, 2, 6, 0, 8, 0, 30, 4, 4, 0, 8, 2, 30, 3, 0, 0, 3, 1, -15, 3, 1]","[2, 4, 21, 0, 30, 10, 1, 0, 9, 9, 30, 8, 1, 0, 0, 0, 30, 6, 6, 0, 9, 7, 30, 4, 12, 0, 9, 9, 30, 8, 0, 0, 1, 1, -15, 3, 1]",,1,1,1,1,1,205.0227334499359,0
21,"[2, 2, 25, 1, 30, 7, 7, 0, 14, 5, 30, 6, 0, 0, 6, 0, 30, 7, 7, 0, 14, 1, 30, 5, 9, 0, 14, 5, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 44, 1, 30, 1, 14, 0, 11, 10, 30, 10, 3, 0, 4, 9, 30, 12, 5, 0, 4, 1, 30, 3, 1, 0, 13, 0, 30, 2, 0, 0, 3, 1, -27, 3, 1]",,1,1,1,1,1,209.32152605056763,0
22,"[2, 2, 29, 0, 30, 8, 6, 0, 14, 6, 30, 11, 1, 0, 12, 0, 30, 3, 11, 0, 14, 0, 30, 0, 14, 0, 14, 2, 30, 9, 0, 0, 9, 1, -15, 3, 1]","[2, 2, 6, 0, 30, 1, 5, 0, 10, 19, 30, 2, 3, 0, 2, 4, 30, 7, 4, 0, 11, 0, 30, 0, 5, 0, 9, 17, 30, 9, 0, 0, 2, 0, -27, 3, 0]",,1,1,1,1,1,202.55928254127505,0
23,"[2, 3, 10, 0, 30, 3, 6, 0, 9, 4, 30, 3, 1, 0, 4, 0, 30, 3, 6, 0, 9, 0, 30, 2, 7, 0, 9, 3, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 0, 36, 8, 30, 3, 7, 0, 3, 11, 30, 2, 0, 0, 2, 2, 30, 2, 8, 0, 4, 4, 30, 3, 6, 0, 9, 3, 30, 3, 0, 0, 3, 1, -15, 3, 1]",,1,1,1,1,1,204.7564594745636,0
24,"[2, 0, 27, 1, 30, 4, 11, 0, 15, 4, 30, 2, 0, 0, 2, 0, 30, 3, 12, 0, 15, 2, 30, 4, 11, 0, 15, 5, 30, 6, 0, 0, 6, 1, -15, 3, 1]","[2, 3, 23, 0, 30, 6, 6, 0, 3, 17, 30, 0, 3, 0, 0, 1, 30, 1, 7, 0, 7, 0, 30, 4, 10, 0, 4, 2, 30, 4, 0, 0, 9, 1, -15, 3, 1]",,1,1,1,1,1,204.34399700164795,0
25,"[2, 2, 10, 0, 30, 2, 7, 0, 9, 5, 30, 3, 1, 0, 4, 1, 30, 4, 5, 0, 9, 0, 30, 1, 8, 0, 9, 4, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 0, 28, 4, 30, 3, 1, 0, 4, 4, 30, 6, 4, 0, 4, 3, 30, 3, 9, 0, 4, 10, 30, 10, 4, 0, 11, 0, 30, 3, 5, 0, 8, 1, -15, 3, 1]",,1,1,1,1,1,205.1274046897888,0
