fact id,fact,explanation,sparsity,fidelity,uncertainty,exceptionality,gen_time
0,"[2, 1, 25, 2, 30, 6, 8, 0, 14, 2, 30, 6, 0, 0, 6, 0, 30, 9, 5, 0, 14, 1, 30, 4, 10, 0, 14, 5, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 5, 30, 9, 12, 0, 21, 0, 30, 8, 0, 0, 8, 3, 30, 9, 12, 0, 21, 0, 30, 6, 15, 0, 21, 0, 30, 6, 4, 0, 10, 1, -15, 3, 1]",1.0,0.9680914746019316,0.1,1.0,119.57371139526367
0,"[2, 1, 25, 2, 30, 6, 8, 0, 14, 2, 30, 6, 0, 0, 6, 0, 30, 9, 5, 0, 14, 1, 30, 4, 10, 0, 14, 5, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 9, 12, 0, 21, 0, 30, 8, 0, 0, 8, 1, 30, 9, 12, 0, 21, 5, 30, 6, 15, 0, 21, 0, 30, 6, 4, 0, 10, 1, -15, 3, 1]",1.0,0.9463080971464085,0.2,1.0,119.57371139526367
1,"[2, 1, 25, 1, 30, 6, 8, 0, 14, 3, 30, 6, 0, 0, 6, 0, 30, 7, 7, 0, 14, 1, 30, 5, 9, 0, 14, 3, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 8, 13, 0, 21, 0, 30, 8, 0, 0, 8, 1, 30, 7, 14, 0, 21, 1, 30, 8, 13, 0, 21, 0, 30, 8, 2, 0, 10, 1, -15, 3, 1]",1.0,0.9593869138669426,0.2,1.0,116.35595059394836
1,"[2, 1, 25, 1, 30, 6, 8, 0, 14, 3, 30, 6, 0, 0, 6, 0, 30, 7, 7, 0, 14, 1, 30, 5, 9, 0, 14, 3, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 8, 13, 0, 21, 0, 30, 8, 0, 0, 8, 1, 30, 7, 14, 0, 21, 0, 30, 9, 12, 0, 21, 0, 30, 9, 1, 0, 10, 1, -15, 3, 1]",1.0,0.9619058378747448,0.1,1.0,116.35595059394836
2,"[2, 1, 13, 1, 30, 7, 0, 0, 7, 0, 30, 4, 0, 0, 4, 2, 30, 5, 2, 0, 7, 7, 30, 7, 0, 0, 7, 3, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 9, 5, 0, 14, 0, 30, 6, 0, 0, 6, 1, 30, 7, 7, 0, 14, 0, 30, 8, 6, 0, 14, 1, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.9788590070779866,0.5,1.0,120.22479462623596
2,"[2, 1, 13, 1, 30, 7, 0, 0, 7, 0, 30, 4, 0, 0, 4, 2, 30, 5, 2, 0, 7, 7, 30, 7, 0, 0, 7, 3, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 9, 5, 0, 14, 0, 30, 6, 0, 0, 6, 1, 30, 7, 7, 0, 14, 0, 30, 8, 6, 0, 14, 1, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.985819954827442,0.1,1.0,120.22479462623596
3,"[2, 1, 19, 0, 30, 3, 10, 0, 13, 2, 30, 5, 3, 0, 8, 0, 30, 4, 9, 0, 13, 5, 30, 4, 9, 0, 13, 4, 30, 8, 1, 0, 9, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 4, 16, 0, 20, 0, 30, 7, 3, 0, 10, 2, 30, 4, 16, 0, 20, 0, 30, 9, 11, 0, 20, 1, 30, 12, 1, 0, 13, 1, -15, 3, 1]",1.0,0.9680906275563443,0.1,1.0,118.11108779907227
3,"[2, 1, 19, 0, 30, 3, 10, 0, 13, 2, 30, 5, 3, 0, 8, 0, 30, 4, 9, 0, 13, 5, 30, 4, 9, 0, 13, 4, 30, 8, 1, 0, 9, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 4, 16, 0, 20, 0, 30, 7, 3, 0, 10, 1, 30, 5, 15, 0, 20, 0, 30, 10, 10, 0, 20, 1, 30, 12, 1, 0, 13, 1, -15, 3, 1]",1.0,0.9582095834400745,0.8,1.0,118.11108779907227
3,"[2, 1, 19, 0, 30, 3, 10, 0, 13, 2, 30, 5, 3, 0, 8, 0, 30, 4, 9, 0, 13, 5, 30, 4, 9, 0, 13, 4, 30, 8, 1, 0, 9, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 4, 16, 0, 20, 0, 30, 7, 3, 0, 10, 1, 30, 5, 15, 0, 20, 0, 30, 10, 10, 0, 20, 0, 30, 12, 1, 0, 13, 1, -15, 3, 1]",1.0,0.9307826415046189,1.0,1.0,118.11108779907227
3,"[2, 1, 19, 0, 30, 3, 10, 0, 13, 2, 30, 5, 3, 0, 8, 0, 30, 4, 9, 0, 13, 5, 30, 4, 9, 0, 13, 4, 30, 8, 1, 0, 9, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 4, 16, 0, 20, 0, 30, 7, 3, 0, 10, 2, 30, 5, 15, 0, 20, 0, 30, 9, 11, 0, 20, 1, 30, 12, 1, 0, 13, 1, -15, 3, 1]",1.0,0.9613777335729411,0.3,1.0,118.11108779907227
4,"[2, 2, 35, 1, 30, 8, 5, 0, 13, 4, 30, 2, 0, 0, 2, 1, 30, 2, 11, 0, 13, 0, 30, 1, 12, 0, 13, 6, 30, 8, 0, 0, 8, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 10, 10, 0, 20, 0, 30, 4, 0, 0, 4, 3, 30, 4, 16, 0, 20, 5, 30, 3, 17, 0, 20, 0, 30, 10, 2, 0, 12, 1, -15, 3, 1]",1.0,0.9211843210401665,0.2,1.0,120.3316638469696
4,"[2, 2, 35, 1, 30, 8, 5, 0, 13, 4, 30, 2, 0, 0, 2, 1, 30, 2, 11, 0, 13, 0, 30, 1, 12, 0, 13, 6, 30, 8, 0, 0, 8, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 10, 10, 0, 20, 0, 30, 4, 0, 0, 4, 1, 30, 2, 18, 0, 20, 0, 30, 5, 15, 0, 20, 0, 30, 12, 0, 0, 12, 1, -15, 3, 1]",1.0,0.9418203062713938,0.1,1.0,120.3316638469696
5,"[2, 2, 18, 1, 30, 8, 0, 0, 8, 2, 30, 4, 0, 0, 4, 0, 30, 2, 6, 0, 8, 0, 30, 7, 1, 0, 8, 1, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 10, 5, 0, 15, 0, 30, 6, 0, 0, 6, 1, 30, 2, 13, 0, 15, 0, 30, 8, 7, 0, 15, 0, 30, 7, 2, 0, 9, 1, -15, 3, 1]",1.0,0.8625985950278844,1.0,1.0,130.30592107772827
5,"[2, 2, 18, 1, 30, 8, 0, 0, 8, 2, 30, 4, 0, 0, 4, 0, 30, 2, 6, 0, 8, 0, 30, 7, 1, 0, 8, 1, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 10, 5, 0, 15, 1, 30, 6, 0, 0, 6, 1, 30, 2, 13, 0, 15, 0, 30, 8, 7, 0, 15, 0, 30, 9, 0, 0, 9, 1, -15, 3, 1]",1.0,0.9757212440756869,0.1,1.0,130.30592107772827
5,"[2, 2, 18, 1, 30, 8, 0, 0, 8, 2, 30, 4, 0, 0, 4, 0, 30, 2, 6, 0, 8, 0, 30, 7, 1, 0, 8, 1, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 10, 5, 0, 15, 1, 30, 6, 0, 0, 6, 1, 30, 2, 13, 0, 15, 0, 30, 8, 7, 0, 15, 0, 30, 9, 0, 0, 9, 1, -15, 3, 1]",1.0,0.9687052280418701,0.2,1.0,130.30592107772827
7,"[2, 2, 24, 0, 30, 5, 1, 0, 6, 2, 30, 3, 1, 0, 4, 5, 30, 6, 0, 0, 6, 0, 30, 1, 5, 0, 6, 2, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 5, 30, 6, 7, 0, 13, 0, 30, 5, 1, 0, 6, 1, 30, 6, 7, 0, 13, 0, 30, 4, 9, 0, 13, 0, 30, 7, 1, 0, 8, 1, -15, 3, 1]",1.0,0.9691480050754477,0.1,1.0,125.40342950820923
8,"[2, 2, 35, 0, 30, 7, 6, 0, 13, 4, 30, 2, 0, 0, 2, 1, 30, 2, 11, 0, 13, 3, 30, 2, 11, 0, 13, 9, 30, 8, 0, 0, 8, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 8, 12, 0, 20, 0, 30, 4, 0, 0, 4, 1, 30, 2, 18, 0, 20, 2, 30, 7, 13, 0, 20, 3, 30, 12, 0, 0, 12, 1, -15, 3, 1]",1.0,0.9773795549073484,0.1,1.0,127.60828495025635
9,"[2, 3, 25, 1, 30, 8, 6, 0, 14, 1, 30, 6, 0, 0, 6, 0, 30, 8, 6, 0, 14, 1, 30, 4, 10, 0, 14, 4, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 10, 11, 0, 21, 0, 30, 8, 0, 0, 8, 1, 30, 8, 13, 0, 21, 4, 30, 5, 16, 0, 21, 0, 30, 6, 4, 0, 10, 1, -15, 3, 1]",1.0,0.9724394233136667,0.1,1.0,125.57416462898254
9,"[2, 3, 25, 1, 30, 8, 6, 0, 14, 1, 30, 6, 0, 0, 6, 0, 30, 8, 6, 0, 14, 1, 30, 4, 10, 0, 14, 4, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 9, 12, 0, 21, 0, 30, 8, 0, 0, 8, 1, 30, 8, 13, 0, 21, 4, 30, 6, 15, 0, 21, 0, 30, 6, 4, 0, 10, 1, -15, 3, 1]",1.0,0.9582332497580395,0.2,1.0,125.57416462898254
10,"[2, 2, 29, 0, 30, 9, 5, 0, 14, 5, 30, 11, 1, 0, 12, 0, 30, 3, 11, 0, 14, 0, 30, 1, 13, 0, 14, 1, 30, 9, 0, 0, 9, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 10, 11, 0, 21, 0, 30, 13, 1, 0, 14, 1, 30, 3, 18, 0, 21, 1, 30, 2, 19, 0, 21, 0, 30, 11, 2, 0, 13, 1, -15, 3, 1]",1.0,0.8546719559926628,0.1,1.0,122.1418240070343
11,"[2, 1, 5, 1, 30, 9, 3, 0, 12, 2, 30, 10, 0, 0, 10, 0, 30, 3, 9, 0, 12, 0, 30, 8, 4, 0, 12, 1, 30, 1, 5, 0, 6, 0, -27, 3, 0]","[2, 2, 1, 0, 30, 11, 8, 0, 19, 1, 30, 12, 0, 0, 12, 1, 30, 3, 16, 0, 19, 0, 30, 9, 10, 0, 19, 0, 30, 3, 7, 0, 10, 0, -27, 3, 0]",1.0,0.9892227712106765,0.1,1.0,126.54372191429138
11,"[2, 1, 5, 1, 30, 9, 3, 0, 12, 2, 30, 10, 0, 0, 10, 0, 30, 3, 9, 0, 12, 0, 30, 8, 4, 0, 12, 1, 30, 1, 5, 0, 6, 0, -27, 3, 0]","[2, 2, 1, 0, 30, 11, 8, 0, 19, 1, 30, 12, 0, 0, 12, 1, 30, 3, 16, 0, 19, 0, 30, 9, 10, 0, 19, 0, 30, 3, 7, 0, 10, 0, -27, 3, 0]",1.0,0.9725336653088151,0.3,1.0,126.54372191429138
11,"[2, 1, 5, 1, 30, 9, 3, 0, 12, 2, 30, 10, 0, 0, 10, 0, 30, 3, 9, 0, 12, 0, 30, 8, 4, 0, 12, 1, 30, 1, 5, 0, 6, 0, -27, 3, 0]","[2, 2, 1, 0, 30, 11, 8, 0, 19, 1, 30, 12, 0, 0, 12, 1, 30, 3, 16, 0, 19, 0, 30, 9, 10, 0, 19, 0, 30, 3, 7, 0, 10, 0, -27, 3, 0]",1.0,0.9687030478491736,1.0,1.0,126.54372191429138
12,"[2, 2, 18, 0, 30, 7, 1, 0, 8, 2, 30, 4, 0, 0, 4, 0, 30, 0, 8, 0, 8, 0, 30, 7, 1, 0, 8, 0, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 8, 7, 0, 15, 1, 30, 6, 0, 0, 6, 0, 30, 0, 15, 0, 15, 0, 30, 8, 7, 0, 15, 0, 30, 8, 1, 0, 9, 1, -15, 3, 1]",1.0,0.958052081937491,0.1,1.0,124.99129962921143
12,"[2, 2, 18, 0, 30, 7, 1, 0, 8, 2, 30, 4, 0, 0, 4, 0, 30, 0, 8, 0, 8, 0, 30, 7, 1, 0, 8, 0, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 8, 7, 0, 15, 0, 30, 6, 0, 0, 6, 1, 30, 0, 15, 0, 15, 0, 30, 8, 7, 0, 15, 1, 30, 6, 3, 0, 9, 1, -15, 3, 1]",1.0,0.8810022769561205,1.0,1.0,124.99129962921143
13,"[2, 2, 25, 1, 30, 5, 9, 0, 14, 4, 30, 6, 0, 0, 6, 0, 30, 9, 5, 0, 14, 1, 30, 4, 10, 0, 14, 3, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 4, 30, 7, 14, 0, 21, 0, 30, 8, 0, 0, 8, 1, 30, 9, 12, 0, 21, 0, 30, 6, 15, 0, 21, 0, 30, 8, 2, 0, 10, 1, -15, 3, 1]",1.0,0.9792790482762976,0.2,1.0,125.06843280792236
13,"[2, 2, 25, 1, 30, 5, 9, 0, 14, 4, 30, 6, 0, 0, 6, 0, 30, 9, 5, 0, 14, 1, 30, 4, 10, 0, 14, 3, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 4, 30, 8, 13, 0, 21, 0, 30, 8, 0, 0, 8, 1, 30, 9, 12, 0, 21, 0, 30, 6, 15, 0, 21, 0, 30, 8, 2, 0, 10, 1, -15, 3, 1]",1.0,0.9794280321541509,0.1,1.0,125.06843280792236
14,"[2, 4, 10, 0, 30, 2, 7, 0, 9, 2, 30, 4, 0, 0, 4, 1, 30, 7, 2, 0, 9, 0, 30, 1, 8, 0, 9, 2, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 3, 13, 0, 16, 0, 30, 6, 0, 0, 6, 1, 30, 9, 7, 0, 16, 0, 30, 2, 14, 0, 16, 0, 30, 8, 1, 0, 9, 1, -15, 3, 1]",1.0,0.7949411392919002,1.0,1.0,127.78934073448181
15,"[2, 1, 5, 1, 30, 8, 4, 0, 12, 2, 30, 9, 1, 0, 10, 0, 30, 3, 9, 0, 12, 0, 30, 8, 4, 0, 12, 1, 30, 2, 4, 0, 6, 0, -27, 3, 0]","[2, 2, 1, 0, 30, 9, 10, 0, 19, 0, 30, 11, 1, 0, 12, 1, 30, 3, 16, 0, 19, 0, 30, 9, 10, 0, 19, 0, 30, 5, 5, 0, 10, 0, -27, 3, 0]",1.0,0.9853908575329583,0.1,1.0,126.44114875793457
15,"[2, 1, 5, 1, 30, 8, 4, 0, 12, 2, 30, 9, 1, 0, 10, 0, 30, 3, 9, 0, 12, 0, 30, 8, 4, 0, 12, 1, 30, 2, 4, 0, 6, 0, -27, 3, 0]","[2, 2, 1, 0, 30, 9, 10, 0, 19, 0, 30, 11, 1, 0, 12, 1, 30, 3, 16, 0, 19, 0, 30, 9, 10, 0, 19, 0, 30, 5, 5, 0, 10, 0, -27, 3, 0]",1.0,0.9827468191621938,0.2,1.0,126.44114875793457
15,"[2, 1, 5, 1, 30, 8, 4, 0, 12, 2, 30, 9, 1, 0, 10, 0, 30, 3, 9, 0, 12, 0, 30, 8, 4, 0, 12, 1, 30, 2, 4, 0, 6, 0, -27, 3, 0]","[2, 2, 1, 0, 30, 10, 9, 0, 19, 0, 30, 11, 1, 0, 12, 3, 30, 3, 16, 0, 19, 0, 30, 9, 10, 0, 19, 0, 30, 4, 6, 0, 10, 0, -27, 3, 0]",1.0,0.9790905578767337,0.3,1.0,126.44114875793457
15,"[2, 1, 5, 1, 30, 8, 4, 0, 12, 2, 30, 9, 1, 0, 10, 0, 30, 3, 9, 0, 12, 0, 30, 8, 4, 0, 12, 1, 30, 2, 4, 0, 6, 0, -27, 3, 0]","[2, 2, 1, 0, 30, 10, 9, 0, 19, 0, 30, 11, 1, 0, 12, 1, 30, 3, 16, 0, 19, 0, 30, 9, 10, 0, 19, 0, 30, 4, 6, 0, 10, 0, -27, 3, 0]",1.0,0.921549838444268,1.0,1.0,126.44114875793457
